Sr. No.,Tender Id,T247 Id,Tender Number,Meril Ref No,New Govt Code,Distributor Master,Zonal Head Name,Front Line Sales,HO Name,Site Location,Tender Due Date,Pre Bid Meeting Date,Quantity,Uom,Sap Material Code,Model,Lob,Segment,Sales Cat,status,Remarks,Estimated Cost,Final Remarks,Bidder Company,Bidder Model,Bidder Price,Bidder Rank
59,12994,94955403,12344-01/2025-26,,,,,,,"Ahmedabad, Gujarat, India",15-12-2025,,,,,,,,,N/A,,0,,,,,
60,13048,94925140,,,,,,,,"Purnia, Bihar, India",01-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
61,13049,94965544,,,,,,,,"Barwani, Madhya Pradesh, India",08-12-2025,,,,,,,,,N/A,,0,,,,,
62,13051,94989247,2025_MAD_956159_1,,,,,,,"North 24 Pargana, West Bengal, India",22-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
63,13052,94989248,2025_MAD_956159_2,,,,,,,"North 24 Pargana, West Bengal, India",22-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
64,13054,94991953,GEM/2025/B/6809606,,,,,,,"Bangalore, Karnataka, India",05-12-2025,,210,,,,,,,N/A,,0,,,,,
65,13055,94991985,GEM/2025/B/6908034,,,,,,,"Ahwa, Gujarat, India",05-12-2025,,12,,,,,,,N/A,,0,,,,,
66,13057,94992012,GEM/2025/B/6928437,,,,,,,"Pune, Maharashtra, India",05-12-2025,,1650,,,,,,,N/A,,0,,,,,
67,13058,94992157,GEM/2025/B/6928568,,,,,,,"New Delhi, Delhi, India",16-12-2025,,530,,,,,,,N/A,,0,,,,,
68,13059,94992167,GEM/2025/B/6928599,,,,,,,"Medak, Telangana, India",16-12-2025,,900,,,,,,,N/A,,0,,,,,
69,13061,94992490,GEM/2025/B/6913577,,,,,,,"Chandigarh Ut, Chandigarh, India",16-12-2025,,1,,,,,,,N/A,,0,,,,,
70,13064,94992642,GEM/2025/B/6929265,,,,,,,"Bhopal, Madhya Pradesh, India",05-12-2025,ref to doc,600,,,,,,,N/A,,0,,,,,
71,13065,94992646,GEM/2025/B/6929253,,,,,,,"Baramati, Maharashtra, India",16-12-2025,,14900,,,,,,,N/A,,0,,,,,
72,13066,94993017,2025_NAVY_741442_1,,,,,,,"Mumbai, Maharashtra, India",02-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
73,13067,94993018,2025_NAVY_741439_1,,,,,,,"Mumbai, Maharashtra, India",02-12-2025,ref to doc,,,,,,,,N/A,,0,,,,,
74,13069,94993825,2025_RIMS_106851_1,,,,,,,"Ranchi, Jharkhand, India",20-12-2025,02-12-2025,,,,,,,,N/A,,0,,,,,
75,13072,94994274,,,,,,,,"Kolkata, West Bengal, India",30-12-2025,,,,,,,,,N/A,,0,,,,,
76,13073,94995078,GEM/2025/B/6896074,,,,,,,"Jammu, Jammu And Kashmir, India",10-12-2025,,1,,,,,,,N/A,,0,,,,,
77,13075,94995084,GEM/2025/B/6919259,,,,,,,"Bokaro, Jharkhand, India",05-12-2025,ref to doc,2,,,,,,,N/A,,0,,,,,
78,13077,94995193,GEM/2025/B/6929923,,,,,,,"Bardhaman, West Bengal, India",06-12-2025,ref to doc,180,,,,,,,N/A,,0,,,,,
79,13078,94995356,GEM/2025/B/6930204,,,,,,,"Leh Ladakh, Jammu And Kashmir, India",05-12-2025,,273,,,,,,,N/A,,0,,,,,
80,13079,94995366,GEM/2025/B/6922394,,,,,,,"Ramgarh, Jharkhand, India",13-12-2025,,1,,,,,,,N/A,,0,,,,,
81,13080,94995391,GEM/2025/B/6809816,,,,,,,"Hyderabad, Telangana, India",16-12-2025,,2,,,,,,,N/A,,0,,,,,
82,13081,94995551,GEM/2025/B/6927946,,,,,,,"Bhandara, Maharashtra, India",10-12-2025,,3,,,,,,,N/A,,0,,,,,
83,13082,94995558,GEM/2025/B/6840432,,,,,,,"Kalpakkam, Tamil Nadu, India",09-12-2025,,5,,,,,,,N/A,,0,,,,,
84,13083,94995648,GEM/2025/B/6930560,,,,,,,"New Delhi, Delhi, India",16-12-2025,ref to doc,6000,,,,,,,N/A,,0,,,,,
85,13084,95000079,GEM/2025/B/6930768,,,,,,,"South 24 Parganas, West Bengal, India",05-12-2025,ref to doc,5,,,,,,,N/A,,0,,,,,
86,13085,95000084,GEM/2025/B/6930801,,,,,,,"South 24 Parganas, West Bengal, India",05-12-2025,,600,,,,,,,N/A,,0,,,,,
87,13086,95000089,GEM/2025/B/6930744,,,,,,,"Bangalore, Karnataka, India",04-12-2025,,300,,,,,,,N/A,,0,,,,,
88,13087,95000097,GEM/2025/B/6931416,,,,,,,"Jalandhar, Punjab, India",05-12-2025,,6,,,,,,,N/A,,0,,,,,
89,13088,95000138,GEM/2025/B/6930914,,,,,,,"Hyderabad, Telangana, India",05-12-2025,26-11-2025,39,,,,,,,N/A,,0,,,,,
